facility__i_d,facility__name,address,city/_town,state,z_i_p__code,county/_parish,telephone__number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_(lowest)_to_10_(highest),patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_(lowest)_to_10_(highest),patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_(lowest)_to_10_(highest),patients'_rating_of_the_facility_linear_mean_score,patients_who_reported__y_e_s_they_would__d_e_f_i_n_i_t_e_l_y_recommend_the_facility_to_family_or_friends,patients_who_reported__p_r_o_b_a_b_l_y__y_e_s_they_would_recommend_the_facility_to_family_or_friends,"patients_who_reported__n_o,_they_would_not_recommend_the_facility_to_family_or_friends",patients_recommending_the_facility_linear_mean_score,footnote,number_of__sampled__patients,number_of__completed__surveys,survey__response__rate__percent,start__date,end__date
06C0001070,ROCKY MOUNTAIN ENDOSCOPY CENTERS LLC,7000 WEST COLFAX AVENUE,LAKEWOOD,CO,80214,,(303) 205-1090,95.0,4.0,1.0,97.0,91.0,8.0,1.0,95.0,85.0,10.0,5.0,93.0,79.0,18.0,3.0,91.0,,1314.0,387.0,29.0,01/01/2023,12/31/2023
06C0001079,SUMMIT VIEW SURGERY CENTER,7730 SOUTH BROADWAY,LITTLETON,CO,80122,,(303) 730-2376,98.0,2.0,0.0,99.0,92.0,7.0,1.0,95.0,87.0,10.0,3.0,94.0,88.0,10.0,2.0,95.0,,1060.0,218.0,21.0,01/01/2023,12/31/2023
06C0001080,FLATIRONS SURGERY CENTER LLC,70 HEALTH PARK DR,LOUISVILLE,CO,80027,,(720) 890-2721,98.0,2.0,0.0,99.0,93.0,7.0,0.0,96.0,87.0,10.0,3.0,95.0,86.0,13.0,1.0,95.0,2,738.0,180.0,24.0,01/01/2023,12/31/2023
06C0001085,CROWN POINT SURGERY CENTER,9397 CROWN CREST BLVD SUITE 110,PARKER,CO,80138,,(720) 974-6495,96.0,3.0,1.0,98.0,91.0,7.0,2.0,95.0,89.0,10.0,1.0,94.0,85.0,14.0,1.0,95.0,,1099.0,252.0,23.0,01/01/2023,12/31/2023
06C0001110,HARVARD PARK SURGERY CENTER LLC,1000 EAST HARVARD AVE,DENVER,CO,80210,,(303) 778-5773,96.0,3.0,1.0,98.0,89.0,8.0,3.0,93.0,83.0,15.0,2.0,94.0,81.0,18.0,1.0,93.0,,739.0,219.0,30.0,01/01/2023,12/31/2023
06C0001118,HIGHLINE SOUTH AMBULATORY SURGERY,11W DRY CREEK CIRLCE # 120,LITTLETON,CO,80120,,(303) 951-8100,,,,,,,,,,,,,,,,,4,,,,,
06C0001131,AUDUBON AMBULATORY SURGERY CENTER LLC DBA AUDUBON ASC AT ST FRANCIS,6011 EAST WOODMEN ROAD SUITE 200,COLORADO SPRINGS,CO,80923,,(719) 355-3400,97.0,3.0,0.0,98.0,91.0,8.0,1.0,95.0,88.0,9.0,3.0,94.0,87.0,12.0,1.0,95.0,,829.0,228.0,28.0,01/01/2023,12/31/2023
06C0001145,KAISER PERMANENTE AMBULATORY SURG CTR LONE TREE,10240 PARK MEADOWS DRIVE,LONE TREE,CO,80124,,(000) 000-0000,98.0,2.0,0.0,99.0,94.0,5.0,1.0,96.0,93.0,6.0,1.0,96.0,88.0,10.0,2.0,95.0,,1904.0,734.0,39.0,01/01/2023,12/31/2023
06C0001159,HIGHLINE SOUTH AMBULATORY SURGERY CENTER,11 WEST DRY CREEK CIR SUITE 120,LITTLETON,CO,80120,,(303) 951-8100,,,,,,,,,,,,,,,,,4,,,,,
06C0001163,SOUTH DENVER SURGERY CENTER,300 EAST MINERAL AVE #9,LITTLETON,CO,80122,,(720) 360-3400,97.0,2.0,1.0,98.0,93.0,6.0,1.0,96.0,90.0,8.0,2.0,95.0,85.0,14.0,1.0,94.0,,1625.0,453.0,28.0,01/01/2023,12/31/2023
06C0001178,DENVER DIAGNOSTIC ASC LLC,7800 EAST ORCHARD ROAD SUITE 350,GREENWOOD VILLAGE,CO,80111,,(720) 598-0805,,,,,,,,,,,,,,,,,4,,,,,
06C0001185,COLORADO UROLOGIC SURGERY CENTER,3 SUPERIOR DRIVE SUITE 301,SUPERIOR,CO,80027,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
06C0001190,COLORADO UROLOGIC SURGERY CENTER,255 SOUTH ROUTT STREET,LAKEWOOD,CO,80228,,(303) 695-6106,,,,,,,,,,,,,,,,,4,,,,,
06C0001191,SOUTH DENVER SURGICAL SERVICES LLC DBA SOUTH DENVER UROLOGY,11 WEST DRY CREEK CIRCLE SUITE 120,LITTLETON,CO,80120,,(303) 835-1129,,,,,,,,,,,,,,,,,4,,,,,
06C0001195,COLORADO UROLOGIC SURGERY CENTER LLC,10535 PARK MEADOWS BOULEVARD SUITE 102,LONE TREE,CO,80124,,(303) 695-6106,,,,,,,,,,,,,,,,,4,,,,,
07C0001034,NORTHEAST MEDICAL GROUP,112 QUARY RD,TRUMBULL,CT,6611,,(203) 551-7313,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,92.0,6.0,2.0,96.0,90.0,8.0,2.0,95.0,,1532.0,380.0,25.0,01/01/2023,12/31/2023
07C0001038,SHORELINE SURGERY CENTER LLC,505 WILLARD AVE.,GUILFORD,CT,6437,,(860) 667-9542,99.0,1.0,0.0,99.0,95.0,4.0,1.0,97.0,94.0,5.0,1.0,97.0,95.0,4.0,1.0,98.0,,2165.0,685.0,32.0,01/01/2023,12/31/2023
07C0001048,NORTH HAVEN SURGERY CENTER LLC,52 WASHINGTON AVE SUITE 1,NORTH HAVEN,CT,6473,,(203) 234-7727,97.0,2.0,1.0,98.0,92.0,7.0,1.0,95.0,88.0,9.0,3.0,95.0,87.0,12.0,1.0,95.0,,989.0,295.0,30.0,01/01/2023,12/31/2023
09C0001001,MEDSTAR SURGERY CENTER AT LAFAYETTE CENTRE LLC,"1145  19TH ST N.W., SUITE 850",WASHINGTON,DC,20036,,(202) 223-9040,96.0,3.0,1.0,98.0,91.0,8.0,1.0,95.0,86.0,12.0,2.0,94.0,85.0,14.0,1.0,94.0,,2262.0,357.0,16.0,01/01/2023,12/31/2023
10C0001008,LEE ISLAND COAST SURGERY CENTER,4035 EVANS AVE,FORT MYERS,FL,33901,,(239) 939-7375,,,,,,,,,,,,,,,,,4,,,,,
10C0001025,SURGERY CENTER AT UNIVERSITY PARK LLC DBA PREMIER SURGERY CENTER OF SARASOTA,983 SOUTH BENEVA RD,SARASOTA,FL,34232,,(941) 365-5355,96.0,4.0,0.0,98.0,91.0,7.0,2.0,95.0,90.0,9.0,1.0,96.0,87.0,12.0,1.0,95.0,,1245.0,480.0,39.0,01/01/2023,12/31/2023
10C0001089,ST AUGUSTINE ENDOSCOPY CENTER LLC,212 SOUTHPARK CIR EAST,SAINT AUGUSTINE,FL,32086,,(904) 824-6108,98.0,2.0,0.0,99.0,90.0,7.0,3.0,94.0,94.0,5.0,1.0,97.0,92.0,7.0,1.0,97.0,,1194.0,375.0,31.0,01/01/2023,12/31/2023
10C0001167,RIVERSIDE PARK SURGICENTER INC,2001 COLLEGE ST.,JACKSONVILLE,FL,32204,,(904) 355-9800,,,,,,,,,,,,,,,,,4,,,,,
10C0001203,UNIVERSITY SURGERY CENTER LTD,7251 UNIVERSITY BLVD SUITE 100,WINTER PARK,FL,32792,,(407) 677-0066,99.0,1.0,0.0,99.0,95.0,4.0,1.0,97.0,94.0,5.0,1.0,97.0,92.0,7.0,1.0,97.0,,871.0,204.0,23.0,01/01/2023,12/31/2023
10C0001214,THE OUTPATIENT CENTER OF BOYNTON BEACH,2351 SOUTH SEACREST BLVD,BOYNTON BEACH,FL,33435,,(561) 732-5900,96.0,3.0,1.0,98.0,88.0,9.0,3.0,93.0,81.0,16.0,3.0,93.0,80.0,17.0,3.0,92.0,,1127.0,277.0,25.0,01/01/2023,12/31/2023
10C0001236,DELRAY BEACH SURGERY CENTER,4800 LINTON BOULEVARD BUILDING B,DELRAY BEACH,FL,33445,,(561) 495-9111,97.0,3.0,0.0,98.0,88.0,9.0,3.0,93.0,85.0,12.0,3.0,94.0,85.0,13.0,2.0,94.0,,1089.0,397.0,36.0,01/01/2023,12/31/2023
10C0001264,TREASURE COAST CENTER FOR SURGERY,1155 SOUTHEAST MONTEREY ROAD EXTENSION,STUART,FL,34994,,(772) 286-8028,97.0,3.0,0.0,98.0,91.0,7.0,2.0,95.0,86.0,11.0,3.0,95.0,86.0,12.0,2.0,94.0,,1007.0,381.0,38.0,01/01/2023,12/31/2023
10C0001293,WINTER HAVEN AMBULATORY SURGICAL CENTER LLC,325 AVE B NW,WINTER HAVEN,FL,33881,,(469) 893-6573,97.0,3.0,0.0,98.0,91.0,7.0,2.0,95.0,92.0,7.0,1.0,96.0,89.0,9.0,2.0,96.0,,1146.0,331.0,29.0,01/01/2023,12/31/2023
10C0001302,TAMARAC SURGERY CENTER LLC DBA THE SURGERY CENTER OF FORT LAUDERDALE,4485 NORTH STATE RD 7,LAUDERDALE LAKES,FL,33319,,(954) 735-0096,96.0,3.0,1.0,98.0,89.0,8.0,3.0,93.0,83.0,13.0,4.0,93.0,78.0,18.0,4.0,91.0,,1239.0,266.0,22.0,01/01/2023,12/31/2023
10C0001304,BARDMOOR SURGERY CENTER LLC,"8787 BRYAN DIARY RD, # 300",LARGO,FL,33777,,(727) 394-6609,97.0,3.0,0.0,99.0,93.0,6.0,1.0,96.0,91.0,8.0,1.0,96.0,91.0,7.0,2.0,96.0,,2539.0,854.0,34.0,01/01/2023,12/31/2023
10C0001308,FORT MYERS SURGERY CENTER,13051 UNIVERSITY DR SUITE 102,FORT MYERS,FL,33907,,(239) 887-3608,96.0,3.0,1.0,98.0,90.0,7.0,3.0,94.0,86.0,11.0,3.0,94.0,83.0,15.0,2.0,93.0,,1670.0,499.0,30.0,01/01/2023,12/31/2023
10C0001313,DOCTORS SURGICAL PARTNERSHIP LTD DBA MELBOURNE SAME DAY SURGERY,1035 SOUTH APOLLO BLVD,MELBOURNE,FL,32901,,(321) 434-9134,,,,,,,,,,,,,,,,,4,,,,,
10C0001319,JACKSONVILLE ENDOSCOPY CENTERS LLC DBA JACKSONVILLE CENTER FOR ENDOSCOPY,1610 BARRS ST SUITE B,JACKSONVILLE,FL,32204,,(904) 387-6750,98.0,2.0,0.0,99.0,92.0,6.0,2.0,95.0,89.0,9.0,2.0,95.0,92.0,7.0,1.0,97.0,,1299.0,299.0,23.0,01/01/2023,12/31/2023
10C0001332,LASER AND SURGERY CENTER OF THE PALM BEACHES,3602 KYOTO GARDENS DR,PALM BEACH GARDENS,FL,33410,,(561) 799-3388,97.0,3.0,0.0,98.0,88.0,9.0,3.0,93.0,88.0,10.0,2.0,95.0,85.0,13.0,2.0,94.0,,1143.0,367.0,32.0,01/01/2023,12/31/2023
10C0001362,DESTIN SURGERY CENTER LLC,1225 AIRPORT ROAD,DESTIN,FL,32541,,(850) 650-7606,98.0,2.0,0.0,99.0,94.0,5.0,1.0,96.0,94.0,4.0,2.0,96.0,91.0,8.0,1.0,97.0,,1492.0,516.0,35.0,01/01/2023,12/31/2023
10C0001363,DOCTORS GI PARTNERSHIP LTD DBA MELBOURNE GI CENTER,1051 SOUTH HICKORY ST SUITE K,MELBOURNE,FL,32901,,(513) 319-6256,97.0,2.0,1.0,98.0,94.0,4.0,2.0,96.0,87.0,11.0,2.0,94.0,88.0,10.0,2.0,95.0,,1874.0,517.0,28.0,01/01/2023,12/31/2023
10C0001371,CHARLOTTE ENDOSCOPIC SURGERY CENTER LLC DBA CHARLOTTE ENDOSCOPIC SURGERY CENTER,23970 SUNCOAST BLVD,PORT CHARLOTTE,FL,33908,,(947) 625-3636,98.0,2.0,0.0,99.0,92.0,7.0,1.0,95.0,92.0,7.0,1.0,96.0,89.0,9.0,2.0,95.0,,923.0,408.0,44.0,01/01/2023,12/31/2023
10C0001377,OPHTHALMOLOGY SURGERY CENTER OF ORLANDO LLC DBA ORLANDO OPHTHALMOLOGY SURGERY CENTER,105 BONNIE LOCH CT,ORLANDO,FL,32806,,(407) 428-0040,96.0,3.0,1.0,98.0,90.0,9.0,1.0,95.0,85.0,12.0,3.0,94.0,85.0,12.0,3.0,94.0,,1475.0,513.0,35.0,01/01/2023,12/31/2023
10C0001389,JACKSONVILLE ENDOSCOPY CENTERS LLC DBA JACKSONVILLE CENTER FOR ENDOSCOPY SOUTHSIDE,4800 BELFORT RD,JACKSONVILLE,FL,32256,,(904) 265-4801,97.0,3.0,0.0,98.0,91.0,8.0,1.0,95.0,93.0,6.0,1.0,96.0,92.0,6.0,2.0,97.0,,1034.0,225.0,22.0,01/01/2023,12/31/2023
10C0001390,CORAL GABLES SURGERY CENTER,"2645 DOUGLAS RD, SUITE 400",MIAMI,FL,33133,,(305) 461-3229,97.0,2.0,1.0,98.0,91.0,7.0,2.0,95.0,86.0,11.0,3.0,94.0,84.0,12.0,4.0,92.0,,1051.0,219.0,21.0,01/01/2023,12/31/2023
10C0001401,TRINITY SURGERY CENTER LLC DBA BAYCARE SURGERY CENTER,2020 TRINITY OAKS BLVD,TRINITY,FL,34667,,(727) 372-4055,98.0,2.0,0.0,99.0,94.0,5.0,1.0,96.0,94.0,5.0,1.0,97.0,93.0,6.0,1.0,97.0,,2013.0,674.0,33.0,01/01/2023,12/31/2023
10C0001418,THE SURGERY CENTER AT JENSEN BEACH LLC,3995 NW GOLDENROD RD,JENSEN BEACH,FL,34957,,(772) 497-0020,96.0,4.0,0.0,98.0,89.0,9.0,2.0,93.0,89.0,9.0,2.0,95.0,87.0,11.0,2.0,95.0,,1080.0,418.0,39.0,01/01/2023,12/31/2023
10C0001428,SOUTH FLORIDA AMBULATORY SURGICAL CENTER LLC,6110 SOUTHWEST 70TH ST,SOUTH MIAMI,FL,33143,,(305) 662-3100,96.0,3.0,1.0,98.0,90.0,7.0,3.0,94.0,84.0,12.0,4.0,93.0,79.0,19.0,2.0,92.0,,1412.0,248.0,18.0,01/01/2023,12/31/2023
10C0001474,MURDOCK AMBULATORY SURGERY CENTER LLC,1400 EDUCATION WAY,PORT CHARLOTTE,FL,33948,,(941) 625-9800,98.0,2.0,0.0,99.0,91.0,6.0,3.0,94.0,92.0,7.0,1.0,97.0,92.0,7.0,1.0,97.0,,1006.0,428.0,43.0,01/01/2023,12/31/2023
10C0001486,PARKCREEK ASC LLC,6806 NORTH STATE ROAD 7,COCONUT CREEK,FL,33073,,(000) 000-0000,98.0,2.0,0.0,99.0,93.0,5.0,2.0,95.0,91.0,7.0,2.0,96.0,89.0,9.0,2.0,95.0,,1335.0,352.0,26.0,01/01/2023,12/31/2023
10C0001496,ADVENTHEALTH SURGERY CENTER WELLSWOOD LLC,513 NORTH ARMENIA AVENUE,TAMPA,FL,33603,,(000) 000-0000,94.0,5.0,1.0,97.0,88.0,9.0,3.0,93.0,82.0,15.0,3.0,93.0,75.0,21.0,4.0,90.0,,2330.0,404.0,17.0,01/01/2023,12/31/2023
10C0001505,LAKE ENDOSCOPY CENTER LLC,17355 SOUTHEAST 109TH TERRACE RD,SUMMERFIELD,FL,34491,,(352) 671-3909,97.0,3.0,0.0,99.0,93.0,5.0,2.0,96.0,90.0,9.0,1.0,96.0,89.0,10.0,1.0,96.0,,1022.0,480.0,47.0,01/01/2023,12/31/2023
10C0001512,TLC ASC LLC DBA TLC OUTPATIENT SURGERY AND LASER CENTER,201 WEST GUAVA ST,LADY LAKE,FL,32159,,(352) 391-5875,97.0,3.0,0.0,98.0,92.0,6.0,2.0,95.0,90.0,9.0,1.0,95.0,90.0,9.0,1.0,96.0,,764.0,352.0,46.0,01/01/2023,12/31/2023
10C0001513,TAMPA MINIMALLY INVASIVE SPINE SURGERY CENTER,5329 PRIMROSE LAKE CIR,TAMPA,FL,33647,,(813) 463-9762,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,93.0,5.0,2.0,96.0,91.0,7.0,2.0,96.0,,1865.0,357.0,19.0,01/01/2023,12/31/2023
10C0001521,RIVERWALK AMBULATORY SURGERY CENTER,200 3RD AVE WEST SUITE 170,BRADENTON,FL,34205,,(941) 220-6786,96.0,3.0,1.0,98.0,88.0,10.0,2.0,93.0,82.0,16.0,2.0,93.0,77.0,22.0,1.0,92.0,,866.0,322.0,37.0,01/01/2023,12/31/2023
10C0001528,CORAL RIDGE OUTPATIENT CENTER LLC,5301 NORTH DIXIE HWY.,OAKLAND PARK,FL,33334,,(954) 832-3300,95.0,4.0,1.0,97.0,92.0,6.0,2.0,95.0,88.0,11.0,1.0,95.0,89.0,10.0,1.0,95.0,,1231.0,369.0,30.0,01/01/2023,12/31/2023
10C0001531,CARILLON SURGERY CENTER LLC,900 CARILLON PARKWAY SUITE 205,ST. PETERSBURG,FL,33716,,(727) 561-2710,97.0,2.0,1.0,98.0,94.0,5.0,1.0,96.0,91.0,8.0,1.0,96.0,90.0,9.0,1.0,96.0,,2231.0,632.0,28.0,01/01/2023,12/31/2023
10C0001539,SURGERY CENTER OF PEMBROKE PINES LLC DBA BROWARD SPECIALTY SURGICAL CENTER,7261 SHERIDAN ST SUITE 100A,HOLLYWOOD,FL,33024,,(954) 322-4222,97.0,3.0,0.0,98.0,89.0,8.0,3.0,93.0,86.0,13.0,1.0,94.0,84.0,14.0,2.0,94.0,,1695.0,285.0,17.0,01/01/2023,12/31/2023
10C0001545,SURGICARE OF MIRAMAR LLC,14601 SOUTHWEST 29TH ST SUITE 301,MIRAMAR,FL,33027,,(954) 266-3807,99.0,1.0,0.0,99.0,94.0,5.0,1.0,96.0,92.0,7.0,1.0,97.0,90.0,8.0,2.0,95.0,,1857.0,343.0,18.0,01/01/2023,12/31/2023
10C0001549,TITUSVILLE CENTER FOR SURGICAL EXCELLENCE LLC,814 SOUTH WASHIGNTON AVE,TITUSVILLE,FL,32796,,(321) 567-6300,99.0,1.0,0.0,99.0,96.0,3.0,1.0,98.0,94.0,5.0,1.0,97.0,94.0,5.0,1.0,98.0,,778.0,353.0,45.0,01/01/2023,12/31/2023
10C0001559,SAFETY HARBOR ASC COMPANY LLC DBA SAFETY HARBOR SURGERY CENTER,3280 NORTH MCMULLEN BOOTH RD SUITE 110,CLEARWATER,FL,33761,,(727) 787-3000,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,92.0,7.0,1.0,96.0,91.0,7.0,2.0,96.0,,1282.0,499.0,39.0,01/01/2023,12/31/2023
10C0001560,SURGCENTER PINELLAS LLC,12416 66TH ST. N STE. D,LARGO,FL,33773,,(727) 408-5310,96.0,4.0,0.0,98.0,89.0,9.0,2.0,94.0,85.0,13.0,2.0,94.0,84.0,14.0,2.0,94.0,,970.0,336.0,35.0,01/01/2023,12/31/2023
10C0001571,SURGERY CENTRE OF SW FLORIDA LLC,665 DEL PRADO BLVD S.,CAPE CORAL,FL,33990,,(239) 772-3636,97.0,3.0,0.0,98.0,88.0,8.0,4.0,92.0,84.0,14.0,2.0,94.0,83.0,15.0,2.0,93.0,,1119.0,361.0,32.0,01/01/2023,12/31/2023
10C0001576,THE OUTPATIENT CENTER OF DELRAY,4675 LINTON BLVD STE 101,DELRAY BEACH,FL,33445,,(561) 499-9585,94.0,5.0,1.0,96.0,92.0,5.0,3.0,94.0,82.0,15.0,3.0,93.0,81.0,17.0,2.0,92.0,,1085.0,303.0,28.0,01/01/2023,12/31/2023
10C0001577,ADVANCED SURGERY CENTER OF SARASOTA LLC,2621 CATTLEMEN RD SUITE 100,SARASOTA,FL,34232,,(941) 444-5510,98.0,2.0,0.0,99.0,91.0,8.0,1.0,95.0,92.0,6.0,2.0,96.0,92.0,7.0,1.0,97.0,,1411.0,603.0,43.0,01/01/2023,12/31/2023
10C0001578,SURGCENTER NORTHEAST LLC,"2438 DR. MARTIN LUTHER KING JR. ST. N, STE. C",ST PETERSBURG,FL,33704,,(727) 565-0740,97.0,3.0,0.0,98.0,90.0,8.0,2.0,94.0,88.0,8.0,4.0,95.0,89.0,9.0,2.0,95.0,,843.0,253.0,30.0,01/01/2023,12/31/2023
10C0001579,SURGCENTER OF ORANGE PARK LLC,"1465 KINGSLEY AVE., STE. 1201",ORANGE PARK,FL,32073,,(904) 385-4854,,,,,,,,,,,,,,,,,4,,,,,
10C0001582,LONGLEAF SURGERY CENTER,3010 STARKEY BLVD,NEW PORT RICHEY,FL,34655,,(727) 372-0600,99.0,1.0,0.0,99.0,92.0,6.0,2.0,95.0,90.0,9.0,1.0,96.0,87.0,10.0,3.0,94.0,,1150.0,375.0,33.0,01/01/2023,12/31/2023
10C0001586,MARION SURGERY CENTER LLC,2207 SW 1ST AVE,OCALA,FL,34471,,(352) 732-4020,95.0,4.0,1.0,97.0,89.0,9.0,2.0,93.0,87.0,11.0,2.0,94.0,84.0,14.0,2.0,94.0,,1258.0,499.0,40.0,01/01/2023,12/31/2023
10C0001588,SURGCENTER OF PALM BEACH GARDENS LLC,900 VILLAGE SQUARE CROSSING SUITE 100,PALM BEACH GARDENS,FL,33410,,(561) 429-6880,98.0,2.0,0.0,99.0,89.0,10.0,1.0,94.0,91.0,7.0,2.0,95.0,85.0,12.0,3.0,93.0,,1007.0,252.0,25.0,01/01/2023,12/31/2023
10C0001589,ADVANCED SURGERY CENTER OF TAMPA LLC,1881 W. KENNEDY BLVD,TAMPA,FL,33606,,(813) 693-5000,96.0,3.0,1.0,98.0,93.0,6.0,1.0,96.0,86.0,11.0,3.0,94.0,87.0,12.0,1.0,95.0,,878.0,209.0,24.0,01/01/2023,12/31/2023
10C0001596,SEASIDE SURGERY CENTER,1879 VETERANS PARK DR SUITE 1101,NAPLES,FL,34109,,(239) 592-4955,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,94.0,5.0,1.0,97.0,92.0,7.0,1.0,97.0,,1116.0,592.0,53.0,01/01/2023,12/31/2023
10C0001600,ADVENTHEALTH SURGERY CENTER DAVENPORT LLC,107 PARK PLACE BOULEVARD,DAVENPORT,FL,33837,,(863) 419-2812,,,,,,,,,,,,,,,,,4,,,,,
10C0001601,SELECT PHYSICIANS SURGERY CENTER,3440 WEST MARTIN LUTHER KING JR BLVD SUITE 103,TAMPA,FL,33607,,(813) 321-1618,96.0,3.0,1.0,98.0,90.0,8.0,2.0,94.0,88.0,10.0,2.0,95.0,86.0,12.0,2.0,94.0,,1388.0,301.0,22.0,01/01/2023,12/31/2023
10C0001608,SURGCENTER OF ST. LUCIE,10521 SOUTHWEST VILLAGE CENTER DR #104,PORT ST. LUCIE,FL,34987,,(772) 345-8600,96.0,4.0,0.0,98.0,92.0,6.0,2.0,95.0,89.0,9.0,2.0,95.0,86.0,13.0,1.0,94.0,,1137.0,414.0,36.0,01/01/2023,12/31/2023
10C0001609,ADVANCED CENTER FOR SURGERY VERO BEACH DBA THE ADVANCED CENTER FOR SURGERY,1355 37TH STREET SUITE 304,VERO BEACH,FL,32960,,(000) 000-0000,97.0,3.0,0.0,98.0,91.0,8.0,1.0,95.0,93.0,5.0,2.0,96.0,90.0,9.0,1.0,96.0,,1110.0,411.0,37.0,01/01/2023,12/31/2023
10C0001612,MIAMI SURGICAL SUITES LLC,9035 SUNSET DR SUITE 200,MIAMI,FL,33173,,(786) 615-6210,96.0,4.0,0.0,98.0,92.0,6.0,2.0,95.0,91.0,8.0,1.0,96.0,89.0,9.0,2.0,95.0,,1320.0,253.0,19.0,01/01/2023,12/31/2023
10C0001623,WELLINGTON EDOSCOPY CENTER,1157 SOUTH STATE ROAD 7,WELLINGTON,FL,33414,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
10C0001637,INTRACOASTAL SURGERY CENTER LLC,2200 WEST EAU GALLIE BLVD SUITE 100,MELBOURNE,FL,32935,,(321) 610-3460,97.0,2.0,1.0,98.0,93.0,6.0,1.0,96.0,88.0,10.0,2.0,95.0,86.0,12.0,2.0,94.0,,1571.0,499.0,32.0,01/01/2023,12/31/2023
10C0001645,SURGCENTER CLEARWATER LLC DBA SURGCENTER DUNEDIN,980 MILWAUKEE AVE,DUNEDIN,FL,34698,,(727) 733-4610,97.0,3.0,0.0,98.0,90.0,7.0,3.0,94.0,90.0,8.0,2.0,95.0,87.0,10.0,3.0,94.0,,1181.0,420.0,36.0,01/01/2023,12/31/2023
10C0001646,SKYWAY SURGERY CENTER LLC,625 6TH AVE SOUTH,ST PETERSBURG,FL,33701,,(727) 440-4888,97.0,3.0,0.0,99.0,90.0,8.0,2.0,94.0,95.0,4.0,1.0,97.0,91.0,7.0,2.0,96.0,,889.0,317.0,36.0,01/01/2023,12/31/2023
10C0001660,HSS PALM BEACH AMBULATORY SURGERY CENTER,: 300 PALM BEACH LAKES BOULEVARD,WEST PALM BEACH,FL,33401,,(000) 000-0000,98.0,2.0,0.0,99.0,94.0,5.0,1.0,96.0,94.0,5.0,1.0,97.0,93.0,6.0,1.0,97.0,,1336.0,523.0,39.0,01/01/2023,12/31/2023
10C0001668,ADVANCED SURGICAL CARE OF CLEARWATER,93 PARK PLACE BOULEVARD SUITE 102,CLEARWATER,FL,33759,,(727) 742-3564,,,,,,,,,,,,,,,,,4,,,,,
10C0001669,MINIMALLY INVASIVE SURGICENTER,6646 WEST ATLANTIC AVENUE,DELRAY BEACH,FL,33446,,(561) 638-9533,,,,,,,,,,,,,,,,,4,,,,,
10C0001671,FLORIDA SPRINGS SURGERY CENTER LLC,366 BEVERLY COURT,SPRING HILL,FL,34606,,(352) 600-0220,,,,,,,,,,,,,,,,,4,,,,,
10C0001693,ASC OF TRINITY DBA COMPREHENSIVE OUTPATIENT JOINT AND SPINE INSTITUTE,15238 VIRGINIA STATION,ODESSA,FL,33556,,(813) 596-5200,,,,,,,,,,,,,,,,,4,,,,,
10C0001709,ADVENTHEALTH SURGERY CENTER MILLS PARK LLC,1812 NORTH MILLS AVENUE SUITE 210,ORLANDO,FL,32803,,(407) 420-0100,,,,,,,,,,,,,,,,,4,,,,,
11C0001006,EMORY HEALTHCARE,"1365 CLIFTON RD, NE SUITE BT200",ATLANTA,GA,30322,,(404) 778-3348,,,,,,,,,,,,,,,,,4,,,,,
11C0001015,SURGERY CENTER OF ROME LP,16 JOHN MADDOX DR,ROME,GA,30165,,(706) 802-3727,,,,,,,,,,,,,,,,,4,,,,,
11C0001049,RESURGENS SURGERY CENTER LLC,5671 PEACHTREE DUNWOODY RD SUITE 800,ATLANTA,GA,30342,,(404) 531-8532,97.0,3.0,0.0,98.0,95.0,4.0,1.0,97.0,93.0,5.0,2.0,96.0,91.0,8.0,1.0,96.0,,1336.0,377.0,28.0,01/01/2023,12/31/2023
11C0001056,THE ENDOSCOPY CENTER OF SOUTHEAST GEORGIA INC,200 MAPLE DR,VIDALIA,GA,30474,,(912) 538-1003,97.0,3.0,0.0,98.0,95.0,4.0,1.0,97.0,91.0,7.0,2.0,95.0,93.0,6.0,1.0,97.0,,899.0,151.0,17.0,01/01/2023,12/31/2023
